Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A537569,STRAY,11/11/2025,*RUMPUS,CAT,4 YEARS,SMALL,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537569&location=MONT,"8000 CRABTREE PL, GAITHERSBURG MD 20879"
A535978,OWNER SUR,09/26/2025,OREO,CAT,4 YEARS,MED,BLACK / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A535978&location=MONT,
A525829,OWNER SUR,12/18/2025,CHICO,DOG,3 YEARS,MED,WHITE / BLACK,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525829&location=MONT,
A538336,OWNER SUR,12/06/2025,FILLET,CAT,2 YEARS,MED,ORANGE TAB / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538336&location=MONT,
A537250,OWNER SUR,11/04/2025,AKIRA,DOG,8 YEARS,MED,BROWN / WHITE,AUST CATTLE DOG / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537250&location=MONT,
A537909,OWNER SUR,11/23/2025,*ROOSTY,BIRD,5 MONTHS,SMALL,RED / BLACK,CHICKEN / BANTAM,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537909&location=MONT,
A537138,RETURN,11/24/2025,*LUCY PEARL,CAT,1 YEAR 2 MONTHS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537138&location=MONT,
A538476,STRAY,12/12/2025,*LOLA,CAT,2 YEARS,SMALL,BRN TABBY,DOMESTIC MH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538476&location=MONT,"0 ELMCROFT CT, ROCKVILLE MD 20850"
A537927,OWNER SUR,11/24/2025,TOMBO,CAT,5 YEARS,LARGE,ORANGE TAB / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537927&location=MONT,
A536869,OWNER SUR,12/12/2025,KILO,DOG,1 YEAR 2 MONTHS,LARGE,WHITE / BLACK,LABRADOR RETR / BORDER COLLIE,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536869&location=MONT,
A498159,CONFISCATE,06/27/2025,WAGGLES,DOG,5 YEARS,MED,BROWN,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A498159&location=MONT,
A478716,OWNER SUR,10/10/2025,BANANA,DOG,9 YEARS,LARGE,BLACK / WHITE,BOXER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A478716&location=MONT,
A538249,BOARDING,12/03/2025,FISH 76,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538249&location=MONT,
A530995,OWNER SUR,10/30/2025,*ETON,DOG,5 YEARS,LARGE,WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A530995&location=MONT,
A538180,BOARDING,12/02/2025,FISH 28,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538180&location=MONT,
A538188,BOARDING,12/02/2025,FISH 35,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538188&location=MONT,
A537891,OWNER SUR,11/23/2025,BUTTON,CAT,6 YEARS,MED,ORANGE TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537891&location=MONT,
A538190,BOARDING,12/02/2025,FISH 37,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538190&location=MONT,
A538186,BOARDING,12/02/2025,FISH 34,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538186&location=MONT,
A538157,BOARDING,12/02/2025,FISH 5,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538157&location=MONT,
A538551,OWNER SUR,12/14/2025,PEACH,OTHER,2 YEARS,SMALL,WHITE / BLACK,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538551&location=MONT,
A533503,OWNER SUR,11/30/2025,JUNIOR ASPARAGUS,DOG,1 YEAR 5 MONTHS,MED,TAN / WHITE,AUST CATTLE DOG / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533503&location=MONT,
A538166,BOARDING,12/02/2025,FISH 14,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538166&location=MONT,
A538165,BOARDING,12/02/2025,FISH 13,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538165&location=MONT,
A538189,BOARDING,12/02/2025,FISH 36,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538189&location=MONT,
A538183,BOARDING,12/02/2025,FISH 31,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538183&location=MONT,
A538501,OWNER SUR,12/13/2025,CHICKPEA,BIRD,6 YEARS,MED,YELLOW,PARAKEET,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538501&location=MONT,
A533749,RETURN,10/25/2025,JEFE,DOG,5 YEARS,LARGE,RED / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533749&location=MONT,
A507665,OWNER SUR,11/18/2025,CANOLLI,CAT,2 YEARS,MED,GRAY TAB,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A507665&location=MONT,
A486296,OWNER SUR,11/09/2025,WILLOW,CAT,6 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A486296&location=MONT,
A524546,OWNER SUR,11/29/2025,CHAPARRA,DOG,2 YEARS,MED,BRINDLE / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A524546&location=MONT,
A521770,OWNER SUR,11/26/2025,*FIFI,CAT,6 YEARS,LARGE,CALICO,DOMESTIC MH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A521770&location=MONT,
A538488,OWNER SUR,12/12/2025,COOKIE,OTHER,3 YEARS,SMALL,TRICOLOR,GUINEA PIG,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538488&location=MONT,
A538555,OWNER SUR,12/14/2025,LEELA,CAT,6 YEARS,MED,GRAY TAB / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538555&location=MONT,
A538549,OWNER SUR,12/14/2025,CHEWBACA,OTHER,2 YEARS,SMALL,BROWN,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538549&location=MONT,
A538241,BOARDING,12/03/2025,FISH 68,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538241&location=MONT,
A538235,BOARDING,12/03/2025,FISH 62,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538235&location=MONT,
A538410,BOARDING,12/03/2025,FISH 79,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538410&location=MONT,
A538239,BOARDING,12/03/2025,FISH 66,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538239&location=MONT,
A536756,OWNER SUR,10/19/2025,MOE,DOG,4 YEARS,X-LRG,BROWN / BLACK,MASTIFF,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536756&location=MONT,
A538499,OWNER SUR,12/13/2025,*IHOP,OTHER,8 MONTHS,MED,WHITE / BROWN,RABBIT SH,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538499&location=MONT,
A537954,OWNER SUR,11/26/2025,THEODORE,CAT,4 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A537954&location=MONT,
A538252,BOARDING,12/03/2025,FISH 78,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538252&location=MONT,
A538240,BOARDING,12/03/2025,FISH 67,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538240&location=MONT,
A536242,TRANSFER,12/12/2025,*CANDY APPLE,CAT,1 YEAR 2 MONTHS,MED,BRN TABBY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A536242&location=MONT,
A538248,BOARDING,12/03/2025,FISH 75,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538248&location=MONT,
A538205,BOARDING,12/02/2025,FISH 52,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538205&location=MONT,
A538201,BOARDING,12/02/2025,FISH 48,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538201&location=MONT,
A538199,BOARDING,12/02/2025,FISH 46,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538199&location=MONT,
A538247,BOARDING,12/03/2025,FISH 74,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538247&location=MONT,
A538231,BOARDING,12/03/2025,FISH 58,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538231&location=MONT,
A538197,BOARDING,12/02/2025,FISH 44,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538197&location=MONT,
A538232,BOARDING,12/03/2025,FISH 59,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538232&location=MONT,
A538233,BOARDING,12/03/2025,FISH 60,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538233&location=MONT,
A538195,BOARDING,12/02/2025,FISH 42,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538195&location=MONT,
A538230,BOARDING,12/03/2025,FISH 57,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538230&location=MONT,
A538238,BOARDING,12/03/2025,FISH 65,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538238&location=MONT,
A538193,BOARDING,12/02/2025,FISH 40,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538193&location=MONT,
A538246,BOARDING,12/03/2025,FISH 73,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538246&location=MONT,
A538242,BOARDING,12/03/2025,FISH 69,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538242&location=MONT,
A538237,BOARDING,12/03/2025,FISH 64,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538237&location=MONT,
A538411,BOARDING,12/03/2025,FISH 80,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538411&location=MONT,
A538196,BOARDING,12/02/2025,FISH 43,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538196&location=MONT,
A538229,BOARDING,12/03/2025,FISH 56,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538229&location=MONT,
A538203,BOARDING,12/02/2025,FISH 50,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538203&location=MONT,
A538236,BOARDING,12/03/2025,FISH 63,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538236&location=MONT,
A538243,BOARDING,12/03/2025,FISH 70,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538243&location=MONT,
A538198,BOARDING,12/02/2025,FISH 45,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538198&location=MONT,
A538226,BOARDING,12/03/2025,FISH 53,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538226&location=MONT,
A538227,BOARDING,12/03/2025,FISH 54,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538227&location=MONT,
A538228,BOARDING,12/03/2025,FISH 55,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538228&location=MONT,
A538251,BOARDING,12/03/2025,FISH 77,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538251&location=MONT,
A538202,BOARDING,12/02/2025,FISH 49,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538202&location=MONT,
A538234,BOARDING,12/03/2025,FISH 61,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538234&location=MONT,
A538194,BOARDING,12/02/2025,FISH 41,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538194&location=MONT,
A538245,BOARDING,12/03/2025,FISH 72,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538245&location=MONT,
A538244,BOARDING,12/03/2025,FISH 71,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538244&location=MONT,
A538412,BOARDING,12/03/2025,FISH 81,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538412&location=MONT,
A538204,BOARDING,12/02/2025,FISH 51,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538204&location=MONT,
A538200,BOARDING,12/02/2025,FISH 47,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538200&location=MONT,
A538171,BOARDING,12/02/2025,FISH 19,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538171&location=MONT,
A538192,BOARDING,12/02/2025,FISH 39,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538192&location=MONT,
A538161,BOARDING,12/02/2025,FISH 9,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538161&location=MONT,
A538168,BOARDING,12/02/2025,FISH 16,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538168&location=MONT,
A538172,BOARDING,12/02/2025,FISH 20,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538172&location=MONT,
A538159,BOARDING,12/02/2025,FISH 7,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538159&location=MONT,
A538164,BOARDING,12/02/2025,FISH 12,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538164&location=MONT,
A538108,BOARDING,12/01/2025,NINO,CAT,4 YEARS,SMALL,BLACK,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538108&location=MONT,
A538182,BOARDING,12/02/2025,FISH 30,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538182&location=MONT,
A538170,BOARDING,12/02/2025,FISH 18,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538170&location=MONT,
A538155,BOARDING,12/02/2025,FISH 3,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538155&location=MONT,
A538173,BOARDING,12/02/2025,FISH 21,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538173&location=MONT,
A538156,BOARDING,12/02/2025,FISH 4,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538156&location=MONT,
A538178,BOARDING,12/02/2025,FISH 26,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538178&location=MONT,
A538162,BOARDING,12/02/2025,FISH 10,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538162&location=MONT,
A538181,BOARDING,12/02/2025,FISH 29,OTHER,NO AGE,SMALL,BROWN,TROPICAL,U,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A538181&location=MONT,
